symbol,name,ipo_year,sector,industry,summary_quote
BBDO,Banco Bradesco Sa,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bbdo
BCH,Banco De Chile,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bch
BSBR,Banco Santander Brasil SA,2009,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bsbr
BSAC,Banco Santander Chile,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bsac
SAN,"Banco Santander, S.A.",n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/san
CIB,BanColombia S.A.,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/cib
BAC,Bank of America Corporation,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bac
BMO,Bank Of Montreal,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bmo
BK,Bank Of New York Mellon Corporation (The),n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bk
BNS,Bank of Nova Scotia (The),n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bns
BCS,Barclays PLC,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bcs
GOLD,Barrick Gold Corporation,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gold
BAX,Baxter International Inc.,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/bax
BBT,BB&T Corporation,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bbt
BCE,"BCE, Inc.",n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/bce
BDX,"Becton, Dickinson and Company",n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/bdx
BBY,"Best Buy Co., Inc.",n/a,Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/bby
BHP,BHP Group Limited,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/bhp
BBL,BHP Group Plc,n/a,Energy,Coal Mining,https://www.nasdaq.com/symbol/bbl
BIO,"Bio-Rad Laboratories, Inc.",n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/bio
BLK,"BlackRock, Inc.",1999,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/blk
BA,Boeing Company (The),n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/ba
BAH,Booz Allen Hamilton Holding Corporation,2010,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/bah
BXP,"Boston Properties, Inc.",1997,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/bxp
BSX,Boston Scientific Corporation,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/bsx
BP,BP p.l.c.,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/bp
BMY,Bristol-Myers Squibb Company,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/bmy
BTI,British American Tobacco p.l.c.,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/bti
BR,"Broadridge Financial Solutions, Inc.",n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/br
BAM,Brookfield Asset Management Inc,n/a,Consumer Services,Building operators,https://www.nasdaq.com/symbol/bam
BIP,Brookfield Infrastructure Partners LP,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/bip
BRO,"Brown & Brown, Inc.",n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/bro
BT,BT Group plc,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/bt
BURL,"Burlington Stores, Inc.",2013,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/burl
CJ,"C&J Energy Services, Inc",2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/cj
CPT,Camden Property Trust,1993,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cpt
CPB,Campbell Soup Company,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/cpb
CM,Canadian Imperial Bank of Commerce,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/cm
CNI,Canadian National Railway Company,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/cni
CNQ,Canadian Natural Resources Limited,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cnq
CP,Canadian Pacific Railway Limited,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/cp
CAJ,"Canon, Inc.",n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/caj
COF,Capital One Financial Corporation,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/cof
CAH,"Cardinal Health, Inc.",n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/cah
KMX,CarMax Inc,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/kmx
CCL,Carnival Corporation,1987,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/ccl
CUK,Carnival Corporation,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/cuk
CVNA,Carvana Co.,2017,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/cvna
CAT,"Caterpillar, Inc.",n/a,Capital Goods,Construction/Ag Equipment/Trucks,https://www.nasdaq.com/symbol/cat
CBRE,"CBRE Group, Inc.",n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/cbre
CBS,CBS Corporation,n/a,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/cbs
CE,Celanese Corporation,2005,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ce
CVE,Cenovus Energy Inc,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cve
CNC,Centene Corporation,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cnc
CNP,"CenterPoint Energy, Inc.",n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/cnp
EBR,Centrais Electricas Brasileiras S.A.- Eletrobras,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ebr
CTL,"CenturyLink, Inc.",n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/ctl
CF,"CF Industries Holdings, Inc.",2005,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/cf
GIB,CGI Inc.,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/gib
CVX,Chevron Corporation,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/cvx
CHWY,"Chewy, Inc.",2019,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/chwy
LFC,China Life Insurance Company Limited,2003,Finance,Life Insurance,https://www.nasdaq.com/symbol/lfc
CHL,China Mobile (Hong Kong) Ltd.,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/chl
SNP,China Petroleum & Chemical Corporation,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/snp
CHA,China Telecom Corp Ltd,2002,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/cha
CHU,China Unicom (Hong Kong) Ltd,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/chu
CMG,"Chipotle Mexican Grill, Inc.",2006,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/cmg
CB,Chubb Limited,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/cb
CHT,"Chunghwa Telecom Co., Ltd.",n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/cht
CHD,"Church & Dwight Company, Inc.",n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/chd
CI,Cigna Corporation,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/ci
C,Citigroup Inc.,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/c
CFG,"Citizens Financial Group, Inc.",2014,Finance,Major Banks,https://www.nasdaq.com/symbol/cfg
CLX,Clorox Company (The),n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/clx
CMS,CMS Energy Corporation,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/cms
CNA,CNA Financial Corporation,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/cna
CNHI,CNH Industrial N.V.,2013,Capital Goods,Construction/Ag Equipment/Trucks,https://www.nasdaq.com/symbol/cnhi
KOF,Coca Cola Femsa S.A.B. de C.V.,1993,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/kof
KO,Coca-Cola Company (The),n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/ko
CCEP,Coca-Cola European Partners plc,2016,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/ccep
CL,Colgate-Palmolive Company,n/a,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/cl
CAG,"ConAgra Brands, Inc.",n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/cag
CXO,Concho Resources Inc.,2007,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cxo
COP,ConocoPhillips,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/cop
ED,Consolidated Edison Inc,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ed
STZ,Constellation Brands Inc,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/stz
CLR,"Continental Resources, Inc.",2007,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/clr
GLW,Corning Incorporated,n/a,Basic Industries,Telecommunications Equipment,https://www.nasdaq.com/symbol/glw
CTVA,"Corteva, Inc.",2019,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/ctva
BAP,Credicorp Ltd.,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bap
CS,Credit Suisse Group,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/cs
CRH,CRH PLC,n/a,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/crh
CCI,Crown Castle International Corporation,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cci
CMI,Cummins Inc.,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cmi
CVS,CVS Health Corporation,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/cvs
DHI,"D.R. Horton, Inc.",n/a,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/dhi
DHR,Danaher Corporation,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/dhr
DRI,"Darden Restaurants, Inc.",n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/dri
DE,Deere & Company,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/de
DELL,Dell Technologies Inc.,2018,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/dell
DAL,"Delta Air Lines, Inc.",n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/dal
DB,Deutsche Bank AG,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/db
DEO,Diageo plc,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/deo
DLR,"Digital Realty Trust, Inc.",2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/dlr
DFS,Discover Financial Services,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/dfs
DG,Dollar General Corporation,2009,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/dg
D,"Dominion Energy, Inc.",n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/d
DOV,Dover Corporation,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/dov
DOW,Dow Inc.,2019,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/dow
DTE,DTE Energy Company,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/dte
DUK,Duke Energy Corporation,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/duk
DRE,Duke Realty Corporation,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/dre
DD,"DuPont de Nemours, Inc.",2017,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/dd
ETN,"Eaton Corporation, PLC",n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/etn
ECL,Ecolab Inc.,n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/ecl
EC,Ecopetrol S.A.,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ec
EIX,Edison International,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/eix
EW,Edwards Lifesciences Corporation,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ew
ELAN,Elanco Animal Health Incorporated,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/elan
LLY,Eli Lilly and Company,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/lly
EMR,Emerson Electric Company,n/a,Energy,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/emr
ENB,Enbridge Inc,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/enb
ENIA,Enel Americas S.A.,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/enia
ET,Energy Transfer L.P.,1996,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/et
E,ENI S.p.A.,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/e
ETR,Entergy Corporation,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/etr
EPD,Enterprise Products Partners L.P.,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/epd
EOG,"EOG Resources, Inc.",n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eog
EPAM,"EPAM Systems, Inc.",2012,Technology,EDP Services,https://www.nasdaq.com/symbol/epam
EFX,"Equifax, Inc.",n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/efx
EQNR,Equinor ASA,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/eqnr
ELS,"Equity Lifestyle Properties, Inc.",n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/els
EQR,Equity Residential,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/eqr
ESS,"Essex Property Trust, Inc.",1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ess
EL,"Estee Lauder Companies, Inc. (The)",1995,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/el
RE,"Everest Re Group, Ltd.",n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/re
EVRG,"Evergy, Inc.",2018,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/evrg
ES,Eversource Energy,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/es
EXC,Exelon Corporation,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/exc
EXR,Extra Space Storage Inc,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/exr
XOM,Exxon Mobil Corporation,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/xom
FDS,FactSet Research Systems Inc.,1996,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/fds
FICO,Fair Isaac Corporation,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/fico
FRT,Federal Realty Investment Trust,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/frt
FDX,FedEx Corporation,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/fdx
RACE,Ferrari N.V.,2015,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/race
FCAU,Fiat Chrysler Automobiles N.V.,2014,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/fcau
FNF,"Fidelity National Financial, Inc.",2014,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/fnf
FIS,"Fidelity National Information Services, Inc.",n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/fis
FE,FirstEnergy Corp.,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/fe
FLT,"FleetCor Technologies, Inc.",2010,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/flt
FMC,FMC Corporation,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/fmc
FMX,Fomento Economico Mexicano S.A.B. de C.V.,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/fmx
F,Ford Motor Company,n/a,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/f
FTS,Fortis Inc.,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/fts
FTV,Fortive Corporation,2016,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/ftv
FNV,Franco-Nevada Corporation,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/fnv
BEN,"Franklin Resources, Inc.",n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ben
FCX,"Freeport-McMoran, Inc.",n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/fcx
FMS,Fresenius Medical Care Corporation,n/a,Health Care,Misc Health and Biotechnology Services,https://www.nasdaq.com/symbol/fms
IT,"Gartner, Inc.",1993,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/it
GD,General Dynamics Corporation,n/a,Capital Goods,Marine Transportation,https://www.nasdaq.com/symbol/gd
GE,General Electric Company,n/a,Energy,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/ge
GIS,"General Mills, Inc.",n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/gis
GM,General Motors Company,2010,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/gm
GPC,Genuine Parts Company,n/a,Capital Goods,Automotive Aftermarket,https://www.nasdaq.com/symbol/gpc
GSK,GlaxoSmithKline PLC,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/gsk
GPN,Global Payments Inc.,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/gpn
GL,Globe Life Inc.,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/gl
GDDY,GoDaddy Inc.,2015,Technology,EDP Services,https://www.nasdaq.com/symbol/gddy
GS,"Goldman Sachs Group, Inc. (The)",1999,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/gs
HAL,Halliburton Company,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/hal
HIG,"Hartford Financial Services Group, Inc. (The)",n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/hig
HCA,"HCA Healthcare, Inc.",2011,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/hca
HCP,"HCP, Inc.",n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hcp
HDB,HDFC Bank Limited,2001,Finance,Commercial Banks,https://www.nasdaq.com/symbol/hdb
HEI,Heico Corporation,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/hei
HSY,Hershey Company (The),n/a,Consumer Non-Durables,Specialty Foods,https://www.nasdaq.com/symbol/hsy
HES,Hess Corporation,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/hes
HPE,Hewlett Packard Enterprise Company,2015,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/hpe
HLT,Hilton Worldwide Holdings Inc.,2016,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/hlt
HD,"Home Depot, Inc. (The)",n/a,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/hd
HMC,"Honda Motor Company, Ltd.",n/a,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/hmc
HON,Honeywell International Inc.,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/hon
HRL,Hormel Foods Corporation,n/a,Consumer Non-Durables,Meat/Poultry/Fish,https://www.nasdaq.com/symbol/hrl
HST,"Host Hotels & Resorts, Inc.",n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hst
HPQ,HP Inc.,n/a,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/hpq
HSBC,HSBC Holdings plc,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/hsbc
HUM,Humana Inc.,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/hum
IBN,ICICI Bank Limited,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/ibn
IEX,IDEX Corporation,1989,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/iex
INFO,IHS Markit Ltd.,1996,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/info
ITW,Illinois Tool Works Inc.,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/itw
INFY,Infosys Limited,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/infy
ING,"ING Group, N.V.",1997,Finance,Commercial Banks,https://www.nasdaq.com/symbol/ing
